,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,place,square
30,30,parle,speak
31,31,compris,understood
32,32,savais,knew
33,33,étaient,were
34,34,attention,Warning
35,35,voici,here is
36,36,pourrais,could
37,37,affaire,case
38,38,donner,give
39,39,type,type
40,40,leurs,their
41,41,donné,given
42,42,train,train
43,43,corps,body
44,44,endroit,place
45,45,yeux,eyes
46,46,façon,way
47,47,écoute,listen
48,48,dont,whose
49,49,trouve,find
50,50,premier,first
51,51,perdu,lost
52,52,main,hand
53,53,première,first
54,54,côté,side
55,55,pouvoir,power
56,56,vieux,old
57,57,tiens,here
58,58,matin,morning
59,59,tellement,so much
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,pardon,sorry
64,65,venez,come
65,66,devant,in front of
66,67,vers,towards
67,68,minutes,minutes
68,69,demandé,request
69,70,chambre,bedroom
70,71,belle,beautiful
71,72,droit,law
72,73,aimerais,would like to
73,74,aujourd'hui,today
74,75,mari,husband
75,77,enfin,finally
76,78,espère,hope
77,79,eau,water
78,80,attendez,Wait
79,81,parti,left
80,82,nouvelle,new
81,83,boulot,job
82,84,arrêter,Stop
83,85,dirait,would say
84,86,terre,Earth
85,87,compte,account
86,88,donne,given
87,89,loin,far
88,90,fin,end
89,91,croire,believe
90,92,chérie,sweetheart
91,94,plutôt,rather
92,95,aura,will have
93,96,filles,girls
94,97,jouer,to play
95,98,bureau,office
